postcode,lsoa_2021_code,pna_locality,local_authority
DT6 5JT,E01020536,West,Dorset
DT6 5LE,E01020536,West,Dorset
DT6 5LF,E01020536,West,Dorset
DT6 5LG,E01020536,West,Dorset
DT6 5LH,E01020536,West,Dorset
DT6 5LJ,E01020536,West,Dorset
DT6 5LL,E01020536,West,Dorset
DT6 5LP,E01020536,West,Dorset
DT6 5LQ,E01020536,West,Dorset
DT6 5LR,E01020536,West,Dorset
DT6 5LS,E01020536,West,Dorset
DT6 5LT,E01020536,West,Dorset
DT6 5LU,E01020536,West,Dorset
DT6 5LW,E01020536,West,Dorset
DT6 5LX,E01020536,West,Dorset
DT6 5LY,E01020536,West,Dorset
DT6 5LZ,E01020536,West,Dorset
DT6 5NA,E01020536,West,Dorset
DT6 5NB,E01020536,West,Dorset
DT6 5ND,E01020536,West,Dorset
DT6 5NE,E01020536,West,Dorset
DT6 5NF,E01020536,West,Dorset
DT6 5NG,E01020536,West,Dorset
DT6 5NH,E01020536,West,Dorset
DT6 5NQ,E01020536,West,Dorset
DT6 5PH,E01020536,West,Dorset
DT6 5PL,E01020536,West,Dorset
DT6 5PP,E01020536,West,Dorset
DT6 5PR,E01020536,West,Dorset
DT6 5PS,E01020536,West,Dorset
DT6 5PT,E01020536,West,Dorset
DT6 5PU,E01020536,West,Dorset
DT110AS,E01020431,Mid,Dorset
DT110AT,E01020431,Mid,Dorset
DT110AU,E01020431,Mid,Dorset
DT110AX,E01020431,Mid,Dorset
DT110AY,E01020431,Mid,Dorset
DT110AZ,E01020431,Mid,Dorset
DT110BB,E01020431,Mid,Dorset
DT110BD,E01020431,Mid,Dorset
DT110BE,E01020431,Mid,Dorset
DT110BJ,E01020431,Mid,Dorset
DT110BL,E01020431,Mid,Dorset
DT110BN,E01020431,Mid,Dorset
DT110BP,E01020431,Mid,Dorset
DT110BQ,E01020431,Mid,Dorset
DT110BS,E01020431,Mid,Dorset
DT110BT,E01020431,Mid,Dorset
DT110BU,E01020431,Mid,Dorset
DT110BW,E01020431,Mid,Dorset
DT110BX,E01020431,Mid,Dorset
DT110BY,E01020431,Mid,Dorset
DT110BZ,E01020431,Mid,Dorset
DT110DA,E01020431,Mid,Dorset
DT110DB,E01020431,Mid,Dorset
DT110DD,E01020431,Mid,Dorset
DT110DE,E01020431,Mid,Dorset
DT110DF,E01020431,Mid,Dorset
DT110DG,E01020431,Mid,Dorset
DT110DQ,E01020431,Mid,Dorset
DT110LB,E01020431,Mid,Dorset
DT110LH,E01020431,Mid,Dorset
DT110LQ,E01020431,Mid,Dorset
DT2 7PF,E01020431,Mid,Dorset
DT2 7PG,E01020431,Mid,Dorset
DT2 7PH,E01020431,Mid,Dorset
DT2 7PJ,E01020431,Mid,Dorset
DT2 7PL,E01020431,Mid,Dorset
DT2 7PN,E01020431,Mid,Dorset
DT2 7PP,E01020431,Mid,Dorset
DT2 7PQ,E01020431,Mid,Dorset
DT2 7PR,E01020431,Mid,Dorset
DT2 7PS,E01020431,Mid,Dorset
DT2 7PT,E01020431,Mid,Dorset
DT2 7PU,E01020431,Mid,Dorset
DT2 7PW,E01020431,Mid,Dorset
DT2 7PX,E01020431,Mid,Dorset
DT2 7PY,E01020431,Mid,Dorset
DT2 7TY,E01020431,Mid,Dorset
DT102NB,E01020434,North,Dorset
DT118LL,E01020445,North,Dorset
DT118PH,E01020445,North,Dorset
DT5 1EQ,E01033200,Weymouth & Portland,Dorset
SP7 9QA,E01033158,North,Dorset
SP8 4HW,E01020450,North,Dorset
DT102LH,E01020434,North,Dorset
DT102LJ,E01020434,North,Dorset
DT102LL,E01020434,North,Dorset
DT102LN,E01020434,North,Dorset
DT102LP,E01020434,North,Dorset
DT102LR,E01020434,North,Dorset
DT102LT,E01020434,North,Dorset
DT102LX,E01020434,North,Dorset
DT102LY,E01020434,North,Dorset
DT102LZ,E01020434,North,Dorset
DT102ND,E01020434,North,Dorset
DT102NE,E01020434,North,Dorset
DT102NF,E01020434,North,Dorset
DT102NG,E01020434,North,Dorset
DT102NH,E01020434,North,Dorset
DT102NJ,E01020434,North,Dorset
DT102NL,E01020434,North,Dorset
DT102NN,E01020434,North,Dorset
DT102NQ,E01020434,North,Dorset
DT102NS,E01020434,North,Dorset
DT102PA,E01020434,North,Dorset
DT102PD,E01020434,North,Dorset
DT102PH,E01020434,North,Dorset
DT102PJ,E01020434,North,Dorset
DT102PL,E01020434,North,Dorset
DT102PN,E01020434,North,Dorset
DT102PP,E01020434,North,Dorset
DT102PQ,E01020434,North,Dorset
DT102PR,E01020434,North,Dorset
DT102PS,E01020434,North,Dorset
DT102PT,E01020434,North,Dorset
DT102PW,E01020434,North,Dorset
DT102QT,E01020434,North,Dorset
DT102QU,E01020434,North,Dorset
DT102QX,E01020434,North,Dorset
DT102QY,E01020434,North,Dorset
DT102QZ,E01020434,North,Dorset
DT102RA,E01020434,North,Dorset
DT102RB,E01020434,North,Dorset
DT102RD,E01020434,North,Dorset
DT102RE,E01020434,North,Dorset
DT102RF,E01020434,North,Dorset
DT102RG,E01020434,North,Dorset
DT102SE,E01020434,North,Dorset
DT118HH,E01020445,North,Dorset
DT118HL,E01020445,North,Dorset
DT118HN,E01020445,North,Dorset
DT118LE,E01020445,North,Dorset
DT118LF,E01020445,North,Dorset
DT118LJ,E01020445,North,Dorset
DT118LN,E01020445,North,Dorset
DT118LP,E01020445,North,Dorset
DT118LR,E01020445,North,Dorset
DT118LS,E01020445,North,Dorset
DT118LT,E01020445,North,Dorset
DT118LU,E01020445,North,Dorset
DT118LW,E01020445,North,Dorset
DT118LX,E01020445,North,Dorset
DT118LY,E01020445,North,Dorset
DT118LZ,E01020445,North,Dorset
DT118NA,E01020445,North,Dorset
DT118NB,E01020445,North,Dorset
DT118ND,E01020445,North,Dorset
DT118NE,E01020445,North,Dorset
DT118NF,E01020445,North,Dorset
DT118NG,E01020445,North,Dorset
DT118NH,E01020445,North,Dorset
DT118NJ,E01020445,North,Dorset
DT118NL,E01020445,North,Dorset
DT118NN,E01020445,North,Dorset
DT118NQ,E01020445,North,Dorset
DT118NW,E01020445,North,Dorset
DT118PP,E01020445,North,Dorset
DT118PQ,E01020445,North,Dorset
DT118PR,E01020445,North,Dorset
DT118PS,E01020445,North,Dorset
DT118PT,E01020445,North,Dorset
DT118PU,E01020445,North,Dorset
